C6Plus_RON,Coke_Laydown_Rate_Rx4,Reformer_WAIT,Feed_Mass_Flow,H2HC_Ratio
94.67,15.76,490,1.70E+05,3
94.57,13.63,490,1.70E+05,3.5
94.47,11.91,490,1.70E+05,4
94.55,15.72,490,1.72E+05,3
94.45,13.59,490,1.72E+05,3.5
94.35,11.88,490,1.72E+05,4
94.44,15.69,490,1.74E+05,3
94.34,13.56,490,1.74E+05,3.5
94.23,11.84,490,1.74E+05,4
94.33,15.66,490,1.76E+05,3
94.22,13.52,490,1.76E+05,3.5
94.11,11.81,490,1.76E+05,4
96.64,21.36,495,1.70E+05,3
96.56,18.51,495,1.70E+05,3.5
96.47,16.19,495,1.70E+05,4
96.52,21.31,495,1.72E+05,3
96.44,18.45,495,1.72E+05,3.5
96.35,16.14,495,1.72E+05,4
96.4,21.25,495,1.74E+05,3
96.33,18.4,495,1.74E+05,3.5
96.23,16.08,495,1.74E+05,4
96.29,21.2,495,1.76E+05,3
96.21,18.34,495,1.76E+05,3.5
96.11,16.03,495,1.76E+05,4
98.63,29.08,500,1.70E+05,3
98.57,25.19,500,1.70E+05,3.5
98.49,22.02,500,1.70E+05,4
98.51,29,500,1.72E+05,3
98.45,25.12,500,1.72E+05,3.5
98.37,21.94,500,1.72E+05,4
98.39,28.92,500,1.74E+05,3
98.33,25.04,500,1.74E+05,3.5
98.25,21.87,500,1.74E+05,4
98.28,28.84,500,1.76E+05,3
98.22,24.96,500,1.76E+05,3.5
98.13,21.8,500,1.76E+05,4
100.6,39.4,505,1.70E+05,3
100.6,34.08,505,1.70E+05,3.5
100.5,29.71,505,1.70E+05,4
100.5,39.3,505,1.72E+05,3
100.4,33.98,505,1.72E+05,3.5
100.4,29.62,505,1.72E+05,4
100.4,39.2,505,1.74E+05,3
100.3,33.88,505,1.74E+05,3.5
100.2,29.53,505,1.74E+05,4
100.2,39.09,505,1.76E+05,3
100.2,33.79,505,1.76E+05,3.5
100.1,29.44,505,1.76E+05,4
102.5,52.71,510,1.70E+05,3
102.4,45.47,510,1.70E+05,3.5
102.4,39.5,510,1.70E+05,4
102.4,52.59,510,1.72E+05,3
102.3,45.36,510,1.72E+05,3.5
102.3,39.4,510,1.72E+05,4
102.2,52.47,510,1.74E+05,3
102.2,45.25,510,1.74E+05,3.5
102.2,39.3,510,1.74E+05,4
102.1,52.36,510,1.76E+05,3
102.1,45.15,510,1.76E+05,3.5
102,39.2,510,1.76E+05,4
104.1,69.13,515,1.70E+05,3
104.2,59.58,515,1.70E+05,3.5
104.1,51.59,515,1.70E+05,4
104,69.01,515,1.72E+05,3
104.1,59.46,515,1.72E+05,3.5
104,51.48,515,1.72E+05,4
103.9,68.88,515,1.74E+05,3
104,59.35,515,1.74E+05,3.5
103.9,51.38,515,1.74E+05,4
103.8,68.76,515,1.76E+05,3
103.9,59.24,515,1.76E+05,3.5
103.8,51.28,515,1.76E+05,4
105.4,88.2,520,1.70E+05,3
105.7,76.4,520,1.70E+05,3.5
105.7,66.13,520,1.70E+05,4
105.3,88.07,520,1.72E+05,3
105.6,76.27,520,1.72E+05,3.5
105.6,66.02,520,1.72E+05,4
105.2,87.94,520,1.74E+05,3
105.5,76.15,520,1.74E+05,3.5
105.5,65.91,520,1.74E+05,4
105.1,87.81,520,1.76E+05,3
105.4,76.03,520,1.76E+05,3.5
105.4,65.81,520,1.76E+05,4
106.1,108.2,525,1.70E+05,3
106.7,95.28,525,1.70E+05,3.5
106.9,83.07,525,1.70E+05,4
106,108,525,1.72E+05,3
106.6,95.14,525,1.72E+05,3.5
106.9,82.94,525,1.72E+05,4
105.9,107.9,525,1.74E+05,3
106.5,95.01,525,1.74E+05,3.5
106.8,82.82,525,1.74E+05,4
105.8,107.8,525,1.76E+05,3
106.4,94.88,525,1.76E+05,3.5
106.7,82.7,525,1.76E+05,4
105.7,126.2,530,1.70E+05,3
107,114.3,530,1.70E+05,3.5
107.7,101.6,530,1.70E+05,4
105.7,126.1,530,1.72E+05,3
106.9,114.2,530,1.72E+05,3.5
107.6,101.4,530,1.72E+05,4
105.6,126,530,1.74E+05,3
106.8,114,530,1.74E+05,3.5
107.5,101.3,530,1.74E+05,4
105.5,125.8,530,1.76E+05,3
106.7,113.9,530,1.76E+05,3.5
107.4,101.2,530,1.76E+05,4
104,141.1,535,1.70E+05,3
106.3,130.9,535,1.70E+05,3.5
107.7,119.7,535,1.70E+05,4
103.9,141,535,1.72E+05,3
106.2,130.8,535,1.72E+05,3.5
107.6,119.5,535,1.72E+05,4
103.9,140.9,535,1.74E+05,3
106.1,130.7,535,1.74E+05,3.5
107.5,119.4,535,1.74E+05,4
103.8,140.7,535,1.76E+05,3
106,130.5,535,1.76E+05,3.5
107.4,119.2,535,1.76E+05,4
